"acquired","bankruptcy","company","company_name","description","industry","ticker"
FALSE,FALSE,"ALEXION PHARMACEUTICALS, INC. (ALXN)","Alexion Pharmaceuticals, Inc.","Alexion is a pharmaceutical company focused on ultra-rare life-threatening genetic disorders. Company products include Soliris, a therapeutic approved for paroxysmal nocturnal hemoglobinuria (PNH) and for atypical hemolytic uremic syndrome (aHUS); Strensiq for the treatment of Hypophosphatasia (HPP); and Kanuma for the treatment of Lysosomal Acid Lipase Deficiency (LAL-D).","pharmaceuticals","ALXN"
TRUE,FALSE,"ALTERA CORPORATION (ALTR)","Altera Corporation","Acquired by Intel in 2015, Altera was a global semiconductor company providing field-programmable gate array (FPGA) products to the telecom, wireless, industrial automation, military, auto, and other markets.","hardware","ALTR"
FALSE,FALSE,"ALLEGION PLC (ALLE)","Allegion Plc","Allegion offers mechanical and electronic security products, such as steel doors and door frames, electronic and biometric access control systems, locks and key systems. Company brands include Falcon, LCN, Kryptonite, and Schlage.","consumer goods,equipment","ALLE"
FALSE,FALSE,"THE ALLSTATE CORPORATION (ALL)","The Allstate Corporation","Allstate provides property-liability and life insurance in the U.S. and Canada.","financial company,insurance","ALL"
FALSE,FALSE,"ALASKA AIR GROUP, INC. (ALK)","Alaska Air Group, Inc.","The company operates Alaska Airlines and Horizon Air, serving a route network spanning North America.","transportation","ALK"
FALSE,FALSE,"ALIGN TECHNOLOGY, INC (ALGN)","Align Technology, Inc","Align designs, manufactures and markets the Invisalign System for tooth alignment therapy. The company also makes iTero oral scanners, and provides computer-aided design and manufacturing digital services used in dentistry, orthodontics, and dental records storage.","medical devices","ALGN"
FALSE,FALSE,"ZOETIS INC. (ZTS)","Zoetis Inc.","Zoetis developes, manufactures and commercializes animal medicines and vaccines. The company had been a business unit of Pfizer for more than 60 years, prior to becoming an independent public company in 2013.","pharmaceuticals","ZTS"
FALSE,FALSE,"ZIONS BANCORPORATION (ZION)","Zions Bancorporation","Zions provides community banking services, including business banking, commercial and residential development, construction and term lending, retail banking, residential mortgage servicing and lending, and trust and wealth management. The company operates primarily in the West and Southwest of the U.S.","banking,financial company","ZION"
FALSE,FALSE,"ZIMMER BIOMET HOLDINGS, INC. (ZBH)","Zimmer Biomet Holdings, Inc.","Zimmer Biomet designs, manufactures and markets orthopaedic reconstructive products; sports medicine, biologics, extremities and trauma products; spine, bone healing, craniomaxillofacial and thoracic products; dental implants; and related surgical products.","health care,medical devices","ZBH"
FALSE,FALSE,"YUM! BRANDS, INC. (YUM)","Yum! Brands, Inc.","YUM develops, operates, franchises and licenses KFC, Pizza Hut and Taco Bell restaurants worldwide.","consumer services","YUM"
TRUE,FALSE,"YAHOO! INC. (YHOO)","Yahoo! Inc.","Acquired by Verizon, Yahoo! generates revenue from display and search advertising on Yahoo! online properties and third-party websites.","internet,media","YHOO"
FALSE,FALSE,"XYLEM INC. (XYL)","Xylem Inc.","Xylem designs and manufactures equipment, and provides services, for water and wastewater applications, such as filtration and treatment.","engineering and construction,equipment","XYL"
TRUE,FALSE,"XTO ENERGY INC (XTO)","Xto Energy Inc","Acquired by Exxon Mobil in 2009, XTO Energy was engaged in exploration, development, and exploitation of oil and gas properties, and in the production, processing, marketing and transportation of oil and gas.","energy","XTO"
FALSE,FALSE,"XEROX CORPORATION (XRX)","Xerox Corporation","Xerox primarily provides business process outsourcing services, including customer care, transaction processing, finance and accounting, and human resources, and document outsourcing services, such as workflow automation and centralized print services.","business services,hardware","XRX"
FALSE,FALSE,"DENTSPLY SIRONA INC. (XRAY)","Dentsply Sirona Inc.","DENTSPLY designs, manufactures and markets consumable dental products for the professional dental market around the world.","health care","XRAY"
FALSE,FALSE,"EXXON MOBIL CORPORATION (XOM)","Exxon Mobil Corporation","Exxon Mobil explores for and produces crude oil and natural gas,  and manufactures and markets petroleum products and commodity petrochemicals.","energy","XOM"
FALSE,FALSE,"XILINX, INC. (XLNX)","Xilinx, Inc.","Xilinx designs and develops programmable integrated circuits.","hardware","XLNX"
TRUE,FALSE,"XL GROUP PLC (XL)","Xl Group Plc","XL Group provides property and casualty insurance and reinsurance to industrial, commercial and professional firms, insurance companies and other enterprises.","financial company,insurance","XL"
FALSE,FALSE,"XCEL ENERGY INC. (XEL)","Xcel Energy Inc.","Xcel Energy is a holding company whose utility subsidiaries provide electricity and natural gas in Minnesota, Wisconsin, Colorado, Michigan, New Mexico, North and South Dakota, and Texas.","utility","XEL"
FALSE,FALSE,"CIMAREX ENERGY CO. (XEC)","Cimarex Energy Co.","Cimarex Energy is an oil and gas exploration and production company, operating mainly in Oklahoma, Texas and New Mexico.","energy","XEC"
FALSE,FALSE,"UNITED STATES STEEL CORPORATION (X)","United States Steel Corporation","U. S. Steel produces flat-rolled and tubular steel products from iron ore and coke, in North America and Europe.","materials","X"
FALSE,FALSE,"WYNN RESORTS, LIMITED (WYNN)","Wynn Resorts, Limited","Wynn Resorts develops, owns and operates destination casino resorts that integrate hotel accommodations with dining outlets, premium retail, entertainment theaters and meeting complexes.","consumer services","WYNN"
FALSE,FALSE,"WYNDHAM DESTINATIONS, INC. (WYND)","Wyndham Destinations, Inc.","Wyndham Destinations is a vacation ownership and exchange company with presence in over 100 countries.","consumer services","WYND"
TRUE,FALSE,"WYETH (WYE)","Wyeth","Acquired by Pfizer in 2009, Wyeth engaged in the discovery, development, manufacture, distribution and sale of pharmaceutical, consumer healthcare, and animal health products.","health care,pharmaceuticals","WYE"
FALSE,FALSE,"WEYERHAEUSER COMPANY (WY)","Weyerhaeuser Company","Weyerhaeuser grows and harvests trees, and manufactures and sells building products, pulp and paper.","materials","WY"
TRUE,FALSE,"WM. WRIGLEY JR. COMPANY (WWY)","Wm. Wrigley Jr. Company","Acquired by Mars, Incorporated in 2008, The Wm. Wrigley Jr. Company manufactured and marketed chewing gum and other confectionery products worldwide.","consumer goods","WWY"
FALSE,FALSE,"THE WESTERN UNION COMPANY (WU)","The Western Union Company","Western Union provides global money movement and payment services, primarily consumer-to-consumer money transfers, as well as consumer-to-business bill payments. The company also provides foreign exchange and cross-border, cross-currency transaction services for businesses and individuals.","consumer services","WU"
FALSE,FALSE,"WESTROCK COMPANY (WRK)","Westrock Company","WestRock manufactures containerboard and paperboard, and makes packaging solutions.","manufacturing","WRK"
FALSE,FALSE,"WPX ENERGY, INC. (WPX)","Wpx Energy, Inc.","WPX is an oil and gas exploration and production company engaged in the exploitation of long-life unconventional properties in North Dakota and in the southwestern U.S..","energy","WPX"
FALSE,FALSE,"WAL-MART STORES, INC. (WMT)","Wal-Mart Stores, Inc.","Wal-Mart operates retail stores, warehouse clubs and e-commerce websites around the world. The company strategy is to lead on price.","retail","WMT"
FALSE,FALSE,"THE WILLIAMS COMPANIES, INC. (WMB)","The Williams Companies, Inc.","Williams is primarily a U.S. based operator of interstate gas pipelines, and provider of natural gas and natural gas liquids gathering, treatment, processing and compression services.","energy","WMB"
FALSE,TRUE,"WASHINGTON MUTUAL, INC. (WM)","Washington Mutual, Inc.","Washington Mutual filed for bankruptcy in 2008. Prior to the bankruptcy, the company had been a consumer and small business banking company in the U.S.","banking,financial company","WAMU"
FALSE,FALSE,"WASTE MANAGEMENT, INC. (WM)","Waste Management, Inc.","Waste Management provides waste collection, transfer, recycling and disposal services in North America. The company owns a number of landfill sites and landfill gas-to-energy facilities.","business services,consumer services","WM"
FALSE,FALSE,"WILLIS TOWERS WATSON PLC (WLTW)","Willis Towers Watson Plc","Willis Towers Watson provides property and liability insurance brokerage services, reinsurance, and employee benefits brokerage and consulting services.","business services,financial company,insurance","WLTW"
FALSE,TRUE,"WINDSTREAM HOLDINGS, INC. (WINMQ)","Windstream Holdings, Inc.","Windstream provides broadband communications, voice and digital television to consumers in the U.S., as well as data, cloud solutions, unified communications and managed services to small business and enterprise clients.","telecommunications","WINMQ"
FALSE,FALSE,"WINMARK CORPORATION (WINA)","Winmark Corporation","Winmark franchises value-oriented retail store concepts that buy, sell and trade used merchandise, such as used clothing and accessories, toys, sporting goods, or musical instruments, in the U.S. and Canada.","retail","WINA"
FALSE,FALSE,"WHIRLPOOL CORPORATION (WHR)","Whirlpool Corporation","Whirlpool manufactures and markets major home appliances, such as refrigerators, cooking stoves, dishwashers, and 
laundry machines under brand names such as Whirlpool, KitchenAid, and Maytag.","consumer goods","WHR"
FALSE,FALSE,"WEATHERFORD INTERNATIONAL PUBLIC LIMITED COMPANY (WFT)","Weatherford International Public Limited Company","Weatherford provides equipment and services used in the drilling, evaluation, completion, production and intervention of oil and gas wells.","engineering and construction,energy,equipment","WFT"
TRUE,FALSE,"WHOLE FOODS MARKET, INC. (WFM)","Whole Foods Market, Inc.","Acquired by Amazon in 2017, Whole Foods operated natural and organic foods supermarkets in the U.S., Canada, and the U.K.","retail","WFM"
FALSE,FALSE,"WELLS FARGO & COMPANY (WFC)","Wells Fargo & Company","Wells Fargo provides retail, commercial and corporate banking across the U.S., as well as wholesale banking, mortgage banking, equipment leasing, securities brokerage, investment banking, and other financial services.","banking,financial company","WFC"
FALSE,FALSE,"THE WENDY'S COMPANY (WEN)","The Wendy'S Company","Wendy’s owns and franchises Wendy’s restaurants in the U.S..","consumer services","WEN"
FALSE,FALSE,"WELLTOWER INC. (WELL)","Welltower Inc.","Welltower is a real estate investment trust (REIT) that owns properties in the U.S., Canada and the U.K., consisting of seniors housing and post-acute communities and outpatient medical facilities.","health care,real estate,REIT","WELL"
FALSE,FALSE,"WEC ENERGY GROUP, INC. (WEC)","Wec Energy Group, Inc.","WEC Energy Group is a holding company, whose subsidiaries provide regulated natural gas and electricity, as well as nonregulated renewable energy primarily in Wisconsin, Illinois, and other Midwestern states of the U.S.","utility","WEC"
FALSE,FALSE,"WADDELL & REED FINANCIAL, INC. (WDR)","Waddell & Reed Financial, Inc.","Waddell & Reed provides investment management, advisory, underwriting and distribution for mutual funds and institutional and separately managed accounts.","asset management,financial company","WDR"
FALSE,FALSE,"WESTERN DIGITAL CORPORATION (WDC)","Western Digital Corporation","Western Digital makes data storage solutions such as hard disk drives and solid-state drives","hardware","WDC"
FALSE,FALSE,"WALGREENS BOOTS ALLIANCE, INC. (WBA)","Walgreens Boots Alliance, Inc.","Walgreens Boots Alliance operates retail pharmacies across the U.S. and Europe under brands including Walgreens, Duane Reade, Boots and Alliance Healthcare. The company also operates a global pharmaceutical wholesale and distribution network, and a portfolio of","health care,retail","WBA"
TRUE,FALSE,"WACHOVIA CORPORATION (WB)","Wachovia Corporation","Acquired by Wells Fargo in 2008, Wachovia provided commercial and retail banking and trust services.","banking,financial company","WB"
FALSE,FALSE,"WATERS CORPORATION (WAT)","Waters Corporation","Waters designs, manufactures, sells and services liquid chromatography, mass spectrometry, thermal analysis, rheometry and calorimetry analytical instruments, related software, and consumables. These products are used by life sciences, biochemical, industrial, nutritional safety, environmental, academic and governmental customers.","equipment","WAT"
TRUE,FALSE,"WALGREEN CO (WAG)","Walgreen Co","Prior to its merger with Alliance Boots in 2014, Walgreen primarily operated drugstores and specialty pharmacies in the U.S.","retail","WAG"
FALSE,FALSE,"VERIZON COMMUNICATIONS INC. (VZ)","Verizon Communications Inc.","Verizon provides wireless voice and data communications, wireline broadband video and data for consumers in the U.S. The company offers corporate networking solutions, data center and cloud services to business and government customers in the U.S. and abroad.","telecommunications","VZ"
FALSE,FALSE,"VENTAS INC (VTR)","Ventas Inc","Ventas is a real estate investment trust (REIT) that owns a portfolio of seniors housing and healthcare properties located in the U.S., Canada and the U.K.","health care,real estate,REIT","VTR"
FALSE,FALSE,"VERTEX PHARMACEUTICALS INCORPORATED (VRTX)","Vertex Pharmaceuticals Incorporated","Vertex Pharmaceuticals discovers, develops, manufactures and commercializes therapies for the treatment of cystic fibrosis, including ORKAMBI and KALYDECO.","pharmaceuticals","VRTX"
FALSE,FALSE,"VERISIGN, INC. (VRSN)","Verisign, Inc.","VeriSign provides Internet domain name registry and Internet security services.","IT services","VRSN"
FALSE,FALSE,"VERISK ANALYTICS, INC. (VRSK)","Verisk Analytics, Inc.","Verisk Analytics provides data analytics services to insurance, natural resources, healthcare, financial services, government, and risk management customers. The company collects and analyzes billions of data records to provide decision making information integrated into customer workflows.","IT services","VRSK"
FALSE,FALSE,"VORNADO REALTY TRUST (VNO)","Vornado Realty Trust","Vornado is a real estate investment trust (REIT) that owns office space and residential properties, primarily in New York City and Washington D.C.","real estate,REIT","VNO"
FALSE,FALSE,"VULCAN MATERIALS COMPANY (VMC)","Vulcan Materials Company","Vulcan is a U.S. based producer of crushed stone, sand and gravel used in construction, and of asphalt mix and ready-mixed concrete.","materials","VMC"
FALSE,FALSE,"VALERO ENERGY CORPORATION (VLO)","Valero Energy Corporation","Valero operates petroleum refineries in the U.S., Canada, and the U.K., and markets refined products through Valero-branded gas stations and on a wholesale basis. The company also operates ethanol plants in the central plains region of the U.S.","energy,materials","VLO"
FALSE,FALSE,"MERIDIAN BIOSCIENCE, INC. (VIVO)","Meridian Bioscience, Inc.","Meridian develops, manufactures, sells and distributes disease diagnostic test kits, bulk antigens, antibodies, and bioresearch reagents, and performs contract development and manufacture of proteins and other biologicals for use by biopharmaceutical and biotechnology companies engaged in research for new drugs and vaccines.","health care,medical devices,pharmaceuticals","VIVO"
FALSE,FALSE,"VIAVI SOLUTIONS INC. (VIAV)","Viavi Solutions Inc.","Viavi, formerly JDS Uniphase Corporation, is a provider of network equipment and optical products for telecommunications service providers, equipment manufacturers and enterprises. The company also provides anti-counterfeiting solutions for currency authentication, and optical instruments for security, safety, and other applications.","hardware","VIAV"
FALSE,FALSE,"VIACOM, INC. (VIA)","Viacom, Inc.","Viacom creates TV programs, films, entertainment applications, games, and consumer products. Company media brands include Nickelodeon, Comedy Central, BET, and Paramount Pictures.","media","VIA"
FALSE,FALSE,"VARIAN MEDICAL SYSTEMS INC (VAR)","Varian Medical Systems Inc","Varian Medical Systems makes medical devices and software for treating cancer and other conditions with radiotherapy, radiosurgery, proton therapy and brachytherapy. The company also makes X-ray imaging components for medical, scientific, cargo screening, and industrial applications.","equipment,health care,medical devices","VAR"
FALSE,FALSE,"U.S. BANCORP (USB)","U.S. Bancorp","U.S. Bancorp is a bank holding company that provides lending and depository services, cash management, capital markets, trust and investment management, as well as credit card services, merchant and ATM processing, mortgage banking, insurance, brokerage and leasing.","banking,financial company","USB"
FALSE,FALSE,"UNITED RENTALS, INC. (URI)","United Rentals, Inc.","The company rents construction and industrial equipment, aerial work platforms, trench safety equipment, power and HVAC equipment, pumps, and general tools and light equipment in the U.S. and Canada.","engineering and construction,equipment","URI"
FALSE,FALSE,"VISA INC. (V)","Visa Inc.","Visa is a global payments technology company that operates a payment processing network, which facilitates authorization, clearing and settlement of payment transactions, and provides fraud protection for account holders. Visa does not issue cards, extend credit or set rates for account holders. In most cases, account holder and merchant relationships are managed by Visa's financial institution clients.","business services,financial company,financial services","V"
TRUE,FALSE,"UST INC. (UST)","Ust Inc.","Acquired by Altria Group in 2008, UST was engaged in manufacturing and marketing of smokeless tobacco products and wine.","consumer goods","UST"
FALSE,FALSE,"URBAN OUTFITTERS, INC. (URBN)","Urban Outfitters, Inc.","Urban Outfitters is a retail and wholesale apparel, accessories, and home goods company, operating under the Urban Outfitters, Anthropologie, Free People, Terrain and Bhldn brands. Company retails stores are primarily located in the U.S., Canada, and Western Europe.","retail","URBN"
FALSE,FALSE,"UNITED TECHNOLOGIES CORPORATION (UTX)","United Technologies Corporation","United Technologies is a diversified technology company. Its products include Otis elevators and escalators; building heating, ventilating, air conditioning and refrigeration systems; Pratt & Whitney aircraft engines and other aerospace products and services sold to aircraft manufacturers, airlines and governments.","conglomerate,equipment","UTX"
FALSE,FALSE,"UNITED PARCEL SERVICE, INC. (UPS)","United Parcel Service, Inc.","United Parcel Service is a package delivery company that was founded in 1907. The company delivers packages in over 200 countries and provides logistics services, such as distribution, customs brokerage and insurance.","transportation","UPS"
FALSE,FALSE,"V.F. CORPORATION (VFC)","V.F. Corporation","VF designs, produces, markets and distributes branded apparel and footwear. Company brands include The North Face, Vans, Timberland, Wrangler, Lee, Nautica, Majestic and Kipling.","consumer goods,retail","VFC"
FALSE,FALSE,"UNION PACIFIC CORPORATION (UNP)","Union Pacific Corporation","Union Pacific provides railroad transportation in the western two-thirds of the U.S., primarily transporting agricultural, automotive, chemical, and industrial products and coal.","transportation","UNP"
FALSE,FALSE,"UNUM GROUP (UNM)","Unum Group","Unum provides life and disability insurance in the U.S. and the U.K.","financial company,insurance","UNM"
FALSE,FALSE,"UNITEDHEALTH GROUP INCORPORATED (UNH)","Unitedhealth Group Incorporated","UnitedHealth provides employer, individual, Medicare, and other health insurance plans.","health care","UNH"
FALSE,FALSE,"ULTA SALON, COSMETICS & FRAGRANCE, INC. (ULTA)","Ulta Salon, Cosmetics & Fragrance, Inc.","Ulta Beauty is a beauty retailer in the U.S. that offers cosmetics, fragrances, skin and hair care products, and salon services.","retail","ULTA"
FALSE,FALSE,"UNISYS CORPORATION (UIS)","Unisys Corporation","Unisys provides information technology services to enterprises and governments. Offerngs include cloud and IT infrastructure, application services, security solutions and server technology.","IT services","UIS"
FALSE,FALSE,"UNIVERSAL HEALTH SERVICES, INC. (UHS)","Universal Health Services, Inc.","The company owns and operates acute care hospitals, behavioral health centers, surgical hospitals, ambulatory surgery centers and radiation oncology centers, primarily in the U.S. and the U.K.","health care","UHS"
FALSE,FALSE,"UNITED-GUARDIAN, INC. (UG)","United-Guardian, Inc.","United-Guardian manufactures and markets cosmetic ingredients, personal care and health care products, pharmaceuticals, medical lubricants, and specialty industrial products.","health care,materials","UG"
FALSE,FALSE,"UDR, INC. (UDR)","Udr, Inc.","UDR is a real estate investment trust (REIT) that develops, owns, and operates multifamily apartment communities throughout the U.S.","real estate,REIT","UDR"
FALSE,TRUE,"UNITED CONTINENTAL HOLDINGS, INC. (UAL)","United Continental Holdings, Inc.","The company is a holding company parent of United Airlines, transporting people and cargo through a global route network with hubs at Newark Liberty, Chicago O’Hare, Denver, George Bush Houston, Los Angeles, A.B. Won Pat Guam, San Francisco and Washington Dulles International airports.","transportation","UAL"
FALSE,FALSE,"UNDER ARMOUR, INC. (UA)","Under Armour, Inc.","Under Armour developes, markets and distributes branded athletic apparel, footwear and accessories. The company primarily sells its products on a wholesale basis to retailers.","consumer goods","UA"
TRUE,FALSE,"TYCO INTERNATIONAL PLC (TYC)","Tyco International Plc","Acquired by Johnson Controls in 2016, Tyco provided security products and services, fire detection and suppression products, and life safety products.","manufacturing","TYC"
FALSE,FALSE,"TEXTRON INC. (TXT)","Textron Inc.","Textron is a diversified company that manufactures, sells, and services Beechcraft, Cessna, and Hawker aircraft, Bell helicopters, unmanned aircraft systems and weapons, and fuel systems and automotive components. The company also provides financing to purchasers of its aircraft and helicopters","equipment","TXT"
FALSE,FALSE,"TEXAS INSTRUMENTS INCORPORATED (TXN)","Texas Instruments Incorporated","TI designs and makes semiconductors that it sells to electronics manufacturers around the world. Products include analog semiconductors, digital signal processors, microcontrollers.","hardware","TXN"
FALSE,FALSE,"TIME WARNER INC. (TWX)","Time Warner Inc.","Time Warner is a media and entertainment company that operates a cable TV network and digital media properties, provides Home Box Office (HBO) premium pay television and streaming services, and owns Warner Bros. film, home video and videogame production and distribution.","media","TWX"
FALSE,FALSE,"TWITTER, INC. (TWTR)","Twitter, Inc.","Twitter provides products that enable people to share information through mobile devices and personal computers. The company derives revenue from advertising and data licensing.","internet","TWTR"
TRUE,FALSE,"TIME WARNER CABLE INC. (TWC)","Time Warner Cable Inc.","Time Warner Cable provides video, high-speed data and voice services over cable systems located primarily in New York State, including New York City, the Carolinas, the Midwest, Southern California, including Los Angeles, and Texas.","telecommunications","TWC"
TRUE,FALSE,"TRANE INC (TT)","Trane Inc","Acquired by Ingersoll-Rand in 2007, Trane manufactured commercial and residential heating, ventilation and air conditioning equipment. Trane through its predecessors had been in the HVAC business since 1864.","consumer goods,equipment","TT"
FALSE,FALSE,"TOTAL SYSTEM SERVICES, INC. (TSS)","Total System Services, Inc.","The company provides global payment solutions, such as processing services and acquiring solutions to merchants, and  general purpose reloadable prepaid and payroll cards.","IT services","TSS"
FALSE,FALSE,"TYSON FOODS, INC. (TSN)","Tyson Foods, Inc.","Tyson Foods is a food company with brands such as Tyson, Jimmy Dean, Hillshire Farm, Sara Lee,  Ball Park, Wright, Aidells and State Fair. The company produces chicken, beef, pork as well as prepared foods.","consumer goods","TSN"
FALSE,FALSE,"TESLA MOTORS, INC. (TSLA)","Tesla Motors, Inc.","Tesla designs, manufactures and sells fully electric vehicles and energy storage products. The company operates its own global network of vehicle sales and service centers.","manufacturing","TSLA"
FALSE,FALSE,"TRACTOR SUPPLY COMPANY (TSCO)","Tractor Supply Company","Tractor Supply Company operates retail stores in rural communities of the U.S., supplying recreational farmers, ranchers, tradesmen and small businesses.","equipment,retail","TSCO"
FALSE,FALSE,"THE TRAVELERS COMPANIES, INC. (TRV)","The Travelers Companies, Inc.","The Travelers Companies is a holding company that provides a wide range of commercial and personal property and casualty insurance products and services to businesses, government units, associations and individuals.","financial company,insurance","TRV"
FALSE,FALSE,"T. ROWE PRICE GROUP, INC. (TROW)","T. Rowe Price Group, Inc.","T. Rowe Price provides global investment management services to individual and institutional investors in mutual funds, separately managed accounts, and other sponsored investment portfolios","asset management,financial company","TROW"
FALSE,FALSE,"TRIPADVISOR, INC. (TRIP)","Tripadvisor, Inc.","TripAdvisor is an online travel company. TripAdvisor aggregates travelers’ reviews and opinions about destinations, accommodations, and activities, and allows users to book hotels, vacation rentals, flights, activities, and restaurants.","internet","TRIP"
FALSE,FALSE,"TAPESTRY, INC. (TPR)","Tapestry, Inc.","Tapestry designs and markets luxury consumer products under Coach, Kate Spade New York, and Stuart Weitzman brands.","consumer goods","TPR"
FALSE,FALSE,"THERMO FISHER SCIENTIFIC INC. (TMO)","Thermo Fisher Scientific Inc.","Thermo Fisher provides scientific instruments and laboratory equipment, software, and consumables to biotech companies, hospitals and diagnostic labs, research institutions and government agencies.","equipment","TMO"
FALSE,FALSE,"TORCHMARK CORPORATION (TMK)","Torchmark Corporation","Torchmark is an insurance holding company that provides individual life and supplemental health insurance products.","financial company,insurance","TMK"
TRUE,FALSE,"TELLABS, INC. (TLAB)","Tellabs, Inc.","Tellabs provides optical and packet-switched network equipment to network service providers.","hardware,telecommunications","TLAB"
FALSE,FALSE,"THE TIMKEN COMPANY (TKR)","The Timken Company","The Timken Company was founded in 1899. Timken engineers, manufactures and markets bearings, transmissions, gearboxes, belts, chain and related products repair services around the world.","manufacturing","TKR"
FALSE,FALSE,"THE TJX COMPANIES, INC. (TJX)","The Tjx Companies, Inc.","TJX Companies is a discount apparel and home fashion retailer, operating stores under the T.J. Maxx, Marshalls, HomeGoods, and other names.","retail","TJX"
TRUE,FALSE,"TEMPLE-INLAND INC. (TIN)","Temple-Inland Inc.","Acquired by International Paper in 2012, Temple-Inland manufactured corrugated packaging and building products.","manufacturing","TIN"
FALSE,FALSE,"TIFFANY & CO. (TIF)","Tiffany & Co.","Tiffany's was founded in 1837, and primarily operates jewelry retail stores around the world.","consumer goods,retail","TIF"
TRUE,FALSE,"TITANIUM METALS CORPORATION (TIE)","Titanium Metals Corporation","Titanium Metals produces titanium melted and mill products, and recycles titanium scrap.","materials","TIE"
FALSE,FALSE,"TENET HEALTHCARE CORPORATION (THC)","Tenet Healthcare Corporation","Tenet operates hospitals, short-stay surgical hospitals, and outpatient centers primarily in the U.S.","health care","THC"
FALSE,FALSE,"TARGET CORPORATION (TGT)","Target Corporation","Target is a U.S. general merchandise and food retaier","retail","TGT"
FALSE,FALSE,"TEGNA INC. (TGNA)","Tegna Inc.","TEGNA, formerly Gannett Co., Inc., operates in two business segments: the Media Segment, which includes a number of television stations, and the Digital Segment, which primarily consists of the Cars.com and CareerBuilder businesses.","internet,media","TGNA"
FALSE,FALSE,"TEREX CORPORATION (TEX)","Terex Corporation","Terex makes cranes, lifts, towers, materials processing equipment such as crushers, and construction equipment such as backhoes, excavators and","equipment","TEX"
FALSE,FALSE,"TERADYNE, INC. (TER)","Teradyne, Inc.","Teradyne makes automatic test systems used to test electronics systems in the consumer electronics, wireless, automotive, industrial, computing, communications, and aerospace and defense industries.","equipment,hardware","TER"
FALSE,FALSE,"TE CONNECTIVITY LTD. (TEL)","Te Connectivity Ltd.","TE Connectivity manufacturers electrical components, such as connector, sensors, and relays for transportation, industrial and communications markets.","hardware","TEL"
TRUE,FALSE,"INTEGRYS ENERGY GROUP, INC. (TEG)","Integrys Energy Group, Inc.","Acquired by Wisconsin Energy in 2015, Integrys Energy Group was a holding company for regulated utility and non-regulated subsidiaries providing natural gas and electricity in the Mid-West of the U.S.","utility","TEG"
TRUE,FALSE,"TECO ENERGY, INC. (TE)","Teco Energy, Inc.","Acquired by Emera in 2016, TECO Energy was a holding company for regulated utilities providing electricity in Florida and New Mexico.","utility","TE"
FALSE,FALSE,"TRANSDIGM GROUP INCORPORATED (TDG)","Transdigm Group Incorporated","TransDigm designs, produces and supplies proprietary components for use on commercial and military aircraft. Company products include mechanical/electro-mechanical actuators and controls, ignition systems and engine technology, pumps and valves, power conditioning devices, AC/DC electric motors and generators, batteries and chargers, latching and locking devices, cockpit security systems, and aircraft audio systems.","equipment","TDG"
FALSE,FALSE,"TERADATA CORPORATION (TDC)","Teradata Corporation","Teradata provides software, hardware, and consulting services for enterprise data warehousing, integration, and business intelligence.","IT services","TDC"
