"acquired","bankruptcy","company","company_name","description","ticker","industry_n","industry"
FALSE,FALSE,"WAL-MART STORES, INC. (WMT)","Wal-Mart Stores, Inc.","Wal-Mart operates retail stores, warehouse clubs and e-commerce websites around the world. The company strategy is to lead on price.","WMT","industry_1","retail"
FALSE,FALSE,"THE WILLIAMS COMPANIES, INC. (WMB)","The Williams Companies, Inc.","Williams is primarily a U.S. based operator of interstate gas pipelines, and provider of natural gas and natural gas liquids gathering, treatment, processing and compression services.","WMB","industry_1","energy"
FALSE,TRUE,"WASHINGTON MUTUAL, INC. (WM)","Washington Mutual, Inc.","Washington Mutual filed for bankruptcy in 2008. Prior to the bankruptcy, the company had been a consumer and small business banking company in the U.S.","WAMU","industry_1","banking"
FALSE,FALSE,"WASTE MANAGEMENT, INC. (WM)","Waste Management, Inc.","Waste Management provides waste collection, transfer, recycling and disposal services in North America. The company owns a number of landfill sites and landfill gas-to-energy facilities.","WM","industry_1","business services"
FALSE,FALSE,"WILLIS TOWERS WATSON PLC (WLTW)","Willis Towers Watson Plc","Willis Towers Watson provides property and liability insurance brokerage services, reinsurance, and employee benefits brokerage and consulting services.","WLTW","industry_1","business services"
FALSE,TRUE,"WINDSTREAM HOLDINGS, INC. (WINMQ)","Windstream Holdings, Inc.","Windstream provides broadband communications, voice and digital television to consumers in the U.S., as well as data, cloud solutions, unified communications and managed services to small business and enterprise clients.","WINMQ","industry_1","telecommunications"
FALSE,FALSE,"WINMARK CORPORATION (WINA)","Winmark Corporation","Winmark franchises value-oriented retail store concepts that buy, sell and trade used merchandise, such as used clothing and accessories, toys, sporting goods, or musical instruments, in the U.S. and Canada.","WINA","industry_1","retail"
FALSE,FALSE,"WHIRLPOOL CORPORATION (WHR)","Whirlpool Corporation","Whirlpool manufactures and markets major home appliances, such as refrigerators, cooking stoves, dishwashers, and 
laundry machines under brand names such as Whirlpool, KitchenAid, and Maytag.","WHR","industry_1","consumer goods"
FALSE,FALSE,"WEATHERFORD INTERNATIONAL PUBLIC LIMITED COMPANY (WFT)","Weatherford International Public Limited Company","Weatherford provides equipment and services used in the drilling, evaluation, completion, production and intervention of oil and gas wells.","WFT","industry_1","engineering and construction"
TRUE,FALSE,"WHOLE FOODS MARKET, INC. (WFM)","Whole Foods Market, Inc.","Acquired by Amazon in 2017, Whole Foods operated natural and organic foods supermarkets in the U.S., Canada, and the U.K.","WFM","industry_1","retail"
FALSE,FALSE,"WELLS FARGO & COMPANY (WFC)","Wells Fargo & Company","Wells Fargo provides retail, commercial and corporate banking across the U.S., as well as wholesale banking, mortgage banking, equipment leasing, securities brokerage, investment banking, and other financial services.","WFC","industry_1","banking"
FALSE,FALSE,"THE WENDY'S COMPANY (WEN)","The Wendy'S Company","Wendy’s owns and franchises Wendy’s restaurants in the U.S..","WEN","industry_1","consumer services"
FALSE,FALSE,"WELLTOWER INC. (WELL)","Welltower Inc.","Welltower is a real estate investment trust (REIT) that owns properties in the U.S., Canada and the U.K., consisting of seniors housing and post-acute communities and outpatient medical facilities.","WELL","industry_1","health care"
FALSE,FALSE,"WEC ENERGY GROUP, INC. (WEC)","Wec Energy Group, Inc.","WEC Energy Group is a holding company, whose subsidiaries provide regulated natural gas and electricity, as well as nonregulated renewable energy primarily in Wisconsin, Illinois, and other Midwestern states of the U.S.","WEC","industry_1","utility"
FALSE,FALSE,"WADDELL & REED FINANCIAL, INC. (WDR)","Waddell & Reed Financial, Inc.","Waddell & Reed provides investment management, advisory, underwriting and distribution for mutual funds and institutional and separately managed accounts.","WDR","industry_1","asset management"
FALSE,FALSE,"WESTERN DIGITAL CORPORATION (WDC)","Western Digital Corporation","Western Digital makes data storage solutions such as hard disk drives and solid-state drives","WDC","industry_1","hardware"
FALSE,FALSE,"WALGREENS BOOTS ALLIANCE, INC. (WBA)","Walgreens Boots Alliance, Inc.","Walgreens Boots Alliance operates retail pharmacies across the U.S. and Europe under brands including Walgreens, Duane Reade, Boots and Alliance Healthcare. The company also operates a global pharmaceutical wholesale and distribution network, and a portfolio of","WBA","industry_1","health care"
TRUE,FALSE,"WACHOVIA CORPORATION (WB)","Wachovia Corporation","Acquired by Wells Fargo in 2008, Wachovia provided commercial and retail banking and trust services.","WB","industry_1","banking"
FALSE,FALSE,"WATERS CORPORATION (WAT)","Waters Corporation","Waters designs, manufactures, sells and services liquid chromatography, mass spectrometry, thermal analysis, rheometry and calorimetry analytical instruments, related software, and consumables. These products are used by life sciences, biochemical, industrial, nutritional safety, environmental, academic and governmental customers.","WAT","industry_1","equipment"
TRUE,FALSE,"WALGREEN CO (WAG)","Walgreen Co","Prior to its merger with Alliance Boots in 2014, Walgreen primarily operated drugstores and specialty pharmacies in the U.S.","WAG","industry_1","retail"
FALSE,FALSE,"VERIZON COMMUNICATIONS INC. (VZ)","Verizon Communications Inc.","Verizon provides wireless voice and data communications, wireline broadband video and data for consumers in the U.S. The company offers corporate networking solutions, data center and cloud services to business and government customers in the U.S. and abroad.","VZ","industry_1","telecommunications"
FALSE,FALSE,"VENTAS INC (VTR)","Ventas Inc","Ventas is a real estate investment trust (REIT) that owns a portfolio of seniors housing and healthcare properties located in the U.S., Canada and the U.K.","VTR","industry_1","health care"
FALSE,FALSE,"VERTEX PHARMACEUTICALS INCORPORATED (VRTX)","Vertex Pharmaceuticals Incorporated","Vertex Pharmaceuticals discovers, develops, manufactures and commercializes therapies for the treatment of cystic fibrosis, including ORKAMBI and KALYDECO.","VRTX","industry_1","pharmaceuticals"
FALSE,FALSE,"VERISIGN, INC. (VRSN)","Verisign, Inc.","VeriSign provides Internet domain name registry and Internet security services.","VRSN","industry_1","IT services"
FALSE,FALSE,"VERISK ANALYTICS, INC. (VRSK)","Verisk Analytics, Inc.","Verisk Analytics provides data analytics services to insurance, natural resources, healthcare, financial services, government, and risk management customers. The company collects and analyzes billions of data records to provide decision making information integrated into customer workflows.","VRSK","industry_1","IT services"
FALSE,FALSE,"VORNADO REALTY TRUST (VNO)","Vornado Realty Trust","Vornado is a real estate investment trust (REIT) that owns office space and residential properties, primarily in New York City and Washington D.C.","VNO","industry_1","real estate"
FALSE,FALSE,"VULCAN MATERIALS COMPANY (VMC)","Vulcan Materials Company","Vulcan is a U.S. based producer of crushed stone, sand and gravel used in construction, and of asphalt mix and ready-mixed concrete.","VMC","industry_1","materials"
FALSE,FALSE,"VALERO ENERGY CORPORATION (VLO)","Valero Energy Corporation","Valero operates petroleum refineries in the U.S., Canada, and the U.K., and markets refined products through Valero-branded gas stations and on a wholesale basis. The company also operates ethanol plants in the central plains region of the U.S.","VLO","industry_1","energy"
FALSE,FALSE,"MERIDIAN BIOSCIENCE, INC. (VIVO)","Meridian Bioscience, Inc.","Meridian develops, manufactures, sells and distributes disease diagnostic test kits, bulk antigens, antibodies, and bioresearch reagents, and performs contract development and manufacture of proteins and other biologicals for use by biopharmaceutical and biotechnology companies engaged in research for new drugs and vaccines.","VIVO","industry_1","health care"
FALSE,FALSE,"VIAVI SOLUTIONS INC. (VIAV)","Viavi Solutions Inc.","Viavi, formerly JDS Uniphase Corporation, is a provider of network equipment and optical products for telecommunications service providers, equipment manufacturers and enterprises. The company also provides anti-counterfeiting solutions for currency authentication, and optical instruments for security, safety, and other applications.","VIAV","industry_1","hardware"
FALSE,FALSE,"VIACOM, INC. (VIA)","Viacom, Inc.","Viacom creates TV programs, films, entertainment applications, games, and consumer products. Company media brands include Nickelodeon, Comedy Central, BET, and Paramount Pictures.","VIA","industry_1","media"
FALSE,FALSE,"VARIAN MEDICAL SYSTEMS INC (VAR)","Varian Medical Systems Inc","Varian Medical Systems makes medical devices and software for treating cancer and other conditions with radiotherapy, radiosurgery, proton therapy and brachytherapy. The company also makes X-ray imaging components for medical, scientific, cargo screening, and industrial applications.","VAR","industry_1","equipment"
FALSE,FALSE,"U.S. BANCORP (USB)","U.S. Bancorp","U.S. Bancorp is a bank holding company that provides lending and depository services, cash management, capital markets, trust and investment management, as well as credit card services, merchant and ATM processing, mortgage banking, insurance, brokerage and leasing.","USB","industry_1","banking"
FALSE,FALSE,"UNITED RENTALS, INC. (URI)","United Rentals, Inc.","The company rents construction and industrial equipment, aerial work platforms, trench safety equipment, power and HVAC equipment, pumps, and general tools and light equipment in the U.S. and Canada.","URI","industry_1","engineering and construction"
FALSE,FALSE,"VISA INC. (V)","Visa Inc.","Visa is a global payments technology company that operates a payment processing network, which facilitates authorization, clearing and settlement of payment transactions, and provides fraud protection for account holders. Visa does not issue cards, extend credit or set rates for account holders. In most cases, account holder and merchant relationships are managed by Visa's financial institution clients.","V","industry_1","business services"
TRUE,FALSE,"UST INC. (UST)","Ust Inc.","Acquired by Altria Group in 2008, UST was engaged in manufacturing and marketing of smokeless tobacco products and wine.","UST","industry_1","consumer goods"
FALSE,FALSE,"URBAN OUTFITTERS, INC. (URBN)","Urban Outfitters, Inc.","Urban Outfitters is a retail and wholesale apparel, accessories, and home goods company, operating under the Urban Outfitters, Anthropologie, Free People, Terrain and Bhldn brands. Company retails stores are primarily located in the U.S., Canada, and Western Europe.","URBN","industry_1","retail"
FALSE,FALSE,"UNITED TECHNOLOGIES CORPORATION (UTX)","United Technologies Corporation","United Technologies is a diversified technology company. Its products include Otis elevators and escalators; building heating, ventilating, air conditioning and refrigeration systems; Pratt & Whitney aircraft engines and other aerospace products and services sold to aircraft manufacturers, airlines and governments.","UTX","industry_1","conglomerate"
FALSE,FALSE,"UNITED PARCEL SERVICE, INC. (UPS)","United Parcel Service, Inc.","United Parcel Service is a package delivery company that was founded in 1907. The company delivers packages in over 200 countries and provides logistics services, such as distribution, customs brokerage and insurance.","UPS","industry_1","transportation"
FALSE,FALSE,"V.F. CORPORATION (VFC)","V.F. Corporation","VF designs, produces, markets and distributes branded apparel and footwear. Company brands include The North Face, Vans, Timberland, Wrangler, Lee, Nautica, Majestic and Kipling.","VFC","industry_1","consumer goods"
FALSE,FALSE,"UNION PACIFIC CORPORATION (UNP)","Union Pacific Corporation","Union Pacific provides railroad transportation in the western two-thirds of the U.S., primarily transporting agricultural, automotive, chemical, and industrial products and coal.","UNP","industry_1","transportation"
FALSE,FALSE,"UNUM GROUP (UNM)","Unum Group","Unum provides life and disability insurance in the U.S. and the U.K.","UNM","industry_1","financial company"
FALSE,FALSE,"UNITEDHEALTH GROUP INCORPORATED (UNH)","Unitedhealth Group Incorporated","UnitedHealth provides employer, individual, Medicare, and other health insurance plans.","UNH","industry_1","health care"
FALSE,FALSE,"ULTA SALON, COSMETICS & FRAGRANCE, INC. (ULTA)","Ulta Salon, Cosmetics & Fragrance, Inc.","Ulta Beauty is a beauty retailer in the U.S. that offers cosmetics, fragrances, skin and hair care products, and salon services.","ULTA","industry_1","retail"
FALSE,FALSE,"UNISYS CORPORATION (UIS)","Unisys Corporation","Unisys provides information technology services to enterprises and governments. Offerngs include cloud and IT infrastructure, application services, security solutions and server technology.","UIS","industry_1","IT services"
FALSE,FALSE,"UNIVERSAL HEALTH SERVICES, INC. (UHS)","Universal Health Services, Inc.","The company owns and operates acute care hospitals, behavioral health centers, surgical hospitals, ambulatory surgery centers and radiation oncology centers, primarily in the U.S. and the U.K.","UHS","industry_1","health care"
FALSE,FALSE,"UNITED-GUARDIAN, INC. (UG)","United-Guardian, Inc.","United-Guardian manufactures and markets cosmetic ingredients, personal care and health care products, pharmaceuticals, medical lubricants, and specialty industrial products.","UG","industry_1","health care"
FALSE,FALSE,"UDR, INC. (UDR)","Udr, Inc.","UDR is a real estate investment trust (REIT) that develops, owns, and operates multifamily apartment communities throughout the U.S.","UDR","industry_1","real estate"
FALSE,TRUE,"UNITED CONTINENTAL HOLDINGS, INC. (UAL)","United Continental Holdings, Inc.","The company is a holding company parent of United Airlines, transporting people and cargo through a global route network with hubs at Newark Liberty, Chicago O’Hare, Denver, George Bush Houston, Los Angeles, A.B. Won Pat Guam, San Francisco and Washington Dulles International airports.","UAL","industry_1","transportation"
FALSE,FALSE,"UNDER ARMOUR, INC. (UA)","Under Armour, Inc.","Under Armour developes, markets and distributes branded athletic apparel, footwear and accessories. The company primarily sells its products on a wholesale basis to retailers.","UA","industry_1","consumer goods"
TRUE,FALSE,"TYCO INTERNATIONAL PLC (TYC)","Tyco International Plc","Acquired by Johnson Controls in 2016, Tyco provided security products and services, fire detection and suppression products, and life safety products.","TYC","industry_1","manufacturing"
FALSE,FALSE,"TEXTRON INC. (TXT)","Textron Inc.","Textron is a diversified company that manufactures, sells, and services Beechcraft, Cessna, and Hawker aircraft, Bell helicopters, unmanned aircraft systems and weapons, and fuel systems and automotive components. The company also provides financing to purchasers of its aircraft and helicopters","TXT","industry_1","equipment"
FALSE,FALSE,"TEXAS INSTRUMENTS INCORPORATED (TXN)","Texas Instruments Incorporated","TI designs and makes semiconductors that it sells to electronics manufacturers around the world. Products include analog semiconductors, digital signal processors, microcontrollers.","TXN","industry_1","hardware"
FALSE,FALSE,"TIME WARNER INC. (TWX)","Time Warner Inc.","Time Warner is a media and entertainment company that operates a cable TV network and digital media properties, provides Home Box Office (HBO) premium pay television and streaming services, and owns Warner Bros. film, home video and videogame production and distribution.","TWX","industry_1","media"
FALSE,FALSE,"TWITTER, INC. (TWTR)","Twitter, Inc.","Twitter provides products that enable people to share information through mobile devices and personal computers. The company derives revenue from advertising and data licensing.","TWTR","industry_1","internet"
TRUE,FALSE,"TIME WARNER CABLE INC. (TWC)","Time Warner Cable Inc.","Time Warner Cable provides video, high-speed data and voice services over cable systems located primarily in New York State, including New York City, the Carolinas, the Midwest, Southern California, including Los Angeles, and Texas.","TWC","industry_1","telecommunications"
TRUE,FALSE,"TRANE INC (TT)","Trane Inc","Acquired by Ingersoll-Rand in 2007, Trane manufactured commercial and residential heating, ventilation and air conditioning equipment. Trane through its predecessors had been in the HVAC business since 1864.","TT","industry_1","consumer goods"
FALSE,FALSE,"TOTAL SYSTEM SERVICES, INC. (TSS)","Total System Services, Inc.","The company provides global payment solutions, such as processing services and acquiring solutions to merchants, and  general purpose reloadable prepaid and payroll cards.","TSS","industry_1","IT services"
FALSE,FALSE,"TYSON FOODS, INC. (TSN)","Tyson Foods, Inc.","Tyson Foods is a food company with brands such as Tyson, Jimmy Dean, Hillshire Farm, Sara Lee,  Ball Park, Wright, Aidells and State Fair. The company produces chicken, beef, pork as well as prepared foods.","TSN","industry_1","consumer goods"
FALSE,FALSE,"TESLA MOTORS, INC. (TSLA)","Tesla Motors, Inc.","Tesla designs, manufactures and sells fully electric vehicles and energy storage products. The company operates its own global network of vehicle sales and service centers.","TSLA","industry_1","manufacturing"
FALSE,FALSE,"TRACTOR SUPPLY COMPANY (TSCO)","Tractor Supply Company","Tractor Supply Company operates retail stores in rural communities of the U.S., supplying recreational farmers, ranchers, tradesmen and small businesses.","TSCO","industry_1","equipment"
FALSE,FALSE,"THE TRAVELERS COMPANIES, INC. (TRV)","The Travelers Companies, Inc.","The Travelers Companies is a holding company that provides a wide range of commercial and personal property and casualty insurance products and services to businesses, government units, associations and individuals.","TRV","industry_1","financial company"
FALSE,FALSE,"T. ROWE PRICE GROUP, INC. (TROW)","T. Rowe Price Group, Inc.","T. Rowe Price provides global investment management services to individual and institutional investors in mutual funds, separately managed accounts, and other sponsored investment portfolios","TROW","industry_1","asset management"
FALSE,FALSE,"TRIPADVISOR, INC. (TRIP)","Tripadvisor, Inc.","TripAdvisor is an online travel company. TripAdvisor aggregates travelers’ reviews and opinions about destinations, accommodations, and activities, and allows users to book hotels, vacation rentals, flights, activities, and restaurants.","TRIP","industry_1","internet"
FALSE,FALSE,"TAPESTRY, INC. (TPR)","Tapestry, Inc.","Tapestry designs and markets luxury consumer products under Coach, Kate Spade New York, and Stuart Weitzman brands.","TPR","industry_1","consumer goods"
FALSE,FALSE,"THERMO FISHER SCIENTIFIC INC. (TMO)","Thermo Fisher Scientific Inc.","Thermo Fisher provides scientific instruments and laboratory equipment, software, and consumables to biotech companies, hospitals and diagnostic labs, research institutions and government agencies.","TMO","industry_1","equipment"
FALSE,FALSE,"TORCHMARK CORPORATION (TMK)","Torchmark Corporation","Torchmark is an insurance holding company that provides individual life and supplemental health insurance products.","TMK","industry_1","financial company"
TRUE,FALSE,"TELLABS, INC. (TLAB)","Tellabs, Inc.","Tellabs provides optical and packet-switched network equipment to network service providers.","TLAB","industry_1","hardware"
FALSE,FALSE,"THE TIMKEN COMPANY (TKR)","The Timken Company","The Timken Company was founded in 1899. Timken engineers, manufactures and markets bearings, transmissions, gearboxes, belts, chain and related products repair services around the world.","TKR","industry_1","manufacturing"
FALSE,FALSE,"THE TJX COMPANIES, INC. (TJX)","The Tjx Companies, Inc.","TJX Companies is a discount apparel and home fashion retailer, operating stores under the T.J. Maxx, Marshalls, HomeGoods, and other names.","TJX","industry_1","retail"
TRUE,FALSE,"TEMPLE-INLAND INC. (TIN)","Temple-Inland Inc.","Acquired by International Paper in 2012, Temple-Inland manufactured corrugated packaging and building products.","TIN","industry_1","manufacturing"
FALSE,FALSE,"TIFFANY & CO. (TIF)","Tiffany & Co.","Tiffany's was founded in 1837, and primarily operates jewelry retail stores around the world.","TIF","industry_1","consumer goods"
TRUE,FALSE,"TITANIUM METALS CORPORATION (TIE)","Titanium Metals Corporation","Titanium Metals produces titanium melted and mill products, and recycles titanium scrap.","TIE","industry_1","materials"
FALSE,FALSE,"TENET HEALTHCARE CORPORATION (THC)","Tenet Healthcare Corporation","Tenet operates hospitals, short-stay surgical hospitals, and outpatient centers primarily in the U.S.","THC","industry_1","health care"
FALSE,FALSE,"TARGET CORPORATION (TGT)","Target Corporation","Target is a U.S. general merchandise and food retaier","TGT","industry_1","retail"
FALSE,FALSE,"TEGNA INC. (TGNA)","Tegna Inc.","TEGNA, formerly Gannett Co., Inc., operates in two business segments: the Media Segment, which includes a number of television stations, and the Digital Segment, which primarily consists of the Cars.com and CareerBuilder businesses.","TGNA","industry_1","internet"
FALSE,FALSE,"TEREX CORPORATION (TEX)","Terex Corporation","Terex makes cranes, lifts, towers, materials processing equipment such as crushers, and construction equipment such as backhoes, excavators and","TEX","industry_1","equipment"
FALSE,FALSE,"TERADYNE, INC. (TER)","Teradyne, Inc.","Teradyne makes automatic test systems used to test electronics systems in the consumer electronics, wireless, automotive, industrial, computing, communications, and aerospace and defense industries.","TER","industry_1","equipment"
FALSE,FALSE,"TE CONNECTIVITY LTD. (TEL)","Te Connectivity Ltd.","TE Connectivity manufacturers electrical components, such as connector, sensors, and relays for transportation, industrial and communications markets.","TEL","industry_1","hardware"
TRUE,FALSE,"INTEGRYS ENERGY GROUP, INC. (TEG)","Integrys Energy Group, Inc.","Acquired by Wisconsin Energy in 2015, Integrys Energy Group was a holding company for regulated utility and non-regulated subsidiaries providing natural gas and electricity in the Mid-West of the U.S.","TEG","industry_1","utility"
TRUE,FALSE,"TECO ENERGY, INC. (TE)","Teco Energy, Inc.","Acquired by Emera in 2016, TECO Energy was a holding company for regulated utilities providing electricity in Florida and New Mexico.","TE","industry_1","utility"
