company,description,industries
EXXON MOBIL CORPORATION (XOM),"Exxon Mobil explores for and produces crude oil and natural gas,  and manufactures and markets petroleum products and commodity petrochemicals.",energy
"XILINX, INC. (XLNX)",Xilinx designs and develops programmable integrated circuits.,hardware
XL GROUP PLC (XL),"XL Group provides property and casualty insurance and reinsurance to industrial, commercial and professional firms, insurance companies and other enterprises.","Acquired.,financial company,insurance"
XCEL ENERGY INC. (XEL),"Xcel Energy is a holding company whose utility subsidiaries provide electricity and natural gas in Minnesota, Wisconsin, Colorado, Michigan, New Mexico, North and South Dakota, and Texas.",utility
CIMAREX ENERGY CO. (XEC),"Cimarex Energy is an oil and gas exploration and production company, operating mainly in Oklahoma, Texas and New Mexico.",energy
UNITED STATES STEEL CORPORATION (X),"U. S. Steel produces flat-rolled and tubular steel products from iron ore and coke, in North America and Europe.",materials
"WYNN RESORTS, LIMITED (WYNN)","Wynn Resorts develops, owns and operates destination casino resorts that integrate hotel accommodations with dining outlets, premium retail, entertainment theaters and meeting complexes.",consumer services
"WYNDHAM DESTINATIONS, INC. (WYND)",Wyndham Destinations is a vacation ownership and exchange company with presence in over 100 countries.,consumer services
WYETH (WYE),"Acquired by Pfizer in 2009, Wyeth engaged in the discovery, development, manufacture, distribution and sale of pharmaceutical, consumer healthcare, and animal health products.","Acquired.,health care,pharmaceuticals"
WEYERHAEUSER COMPANY (WY),"Weyerhaeuser grows and harvests trees, and manufactures and sells building products, pulp and paper.",materials
WM. WRIGLEY JR. COMPANY (WWY),"Acquired by Mars, Incorporated in 2008, The Wm. Wrigley Jr. Company manufactured and marketed chewing gum and other confectionery products worldwide.","Acquired.,consumer goods"
THE WESTERN UNION COMPANY (WU),"Western Union provides global money movement and payment services, primarily consumer-to-consumer money transfers, as well as consumer-to-business bill payments. The company also provides foreign exchange and cross-border, cross-currency transaction services for businesses and individuals.",consumer services
WESTROCK COMPANY (WRK),"WestRock manufactures containerboard and paperboard, and makes packaging solutions.",manufacturing
"WPX ENERGY, INC. (WPX)",WPX is an oil and gas exploration and production company engaged in the exploitation of long-life unconventional properties in North Dakota and in the southwestern U.S..,energy
"WAL-MART STORES, INC. (WMT)","Wal-Mart operates retail stores, warehouse clubs and e-commerce websites around the world. The company strategy is to lead on price.",retail
"THE WILLIAMS COMPANIES, INC. (WMB)","Williams is primarily a U.S. based operator of interstate gas pipelines, and provider of natural gas and natural gas liquids gathering, treatment, processing and compression services.",energy
"WASHINGTON MUTUAL, INC. (WM)","Washington Mutual filed for bankruptcy in 2008. Prior to the bankruptcy, the company had been a consumer and small business banking company in the U.S.","Bankruptcy.,banking,financial company"
"WASTE MANAGEMENT, INC. (WM)","Waste Management provides waste collection, transfer, recycling and disposal services in North America. The company owns a number of landfill sites and landfill gas-to-energy facilities.","business services,consumer services"
WILLIS TOWERS WATSON PLC (WLTW),"Willis Towers Watson provides property and liability insurance brokerage services, reinsurance, and employee benefits brokerage and consulting services.","business services,financial company,insurance"
"WINDSTREAM HOLDINGS, INC. (WINMQ)","Windstream provides broadband communications, voice and digital television to consumers in the U.S., as well as data, cloud solutions, unified communications and managed services to small business and enterprise clients.","Bankruptcy.,telecommunications"
WINMARK CORPORATION (WINA),"Winmark franchises value-oriented retail store concepts that buy, sell and trade used merchandise, such as used clothing and accessories, toys, sporting goods, or musical instruments, in the U.S. and Canada.",retail
WHIRLPOOL CORPORATION (WHR),"Whirlpool manufactures and markets major home appliances, such as refrigerators, cooking stoves, dishwashers, and 
laundry machines under brand names such as Whirlpool, KitchenAid, and Maytag.",consumer goods
WEATHERFORD INTERNATIONAL PUBLIC LIMITED COMPANY (WFT),"Weatherford provides equipment and services used in the drilling, evaluation, completion, production and intervention of oil and gas wells.","engineering and construction,energy,equipment"
"WHOLE FOODS MARKET, INC. (WFM)","Acquired by Amazon in 2017, Whole Foods operated natural and organic foods supermarkets in the U.S., Canada, and the U.K.","Acquired.,retail"
WELLS FARGO & COMPANY (WFC),"Wells Fargo provides retail, commercial and corporate banking across the U.S., as well as wholesale banking, mortgage banking, equipment leasing, securities brokerage, investment banking, and other financial services.","banking,financial company"
THE WENDY'S COMPANY (WEN),Wendy’s owns and franchises Wendy’s restaurants in the U.S..,consumer services
WELLTOWER INC. (WELL),"Welltower is a real estate investment trust (REIT) that owns properties in the U.S., Canada and the U.K., consisting of seniors housing and post-acute communities and outpatient medical facilities.","health care,real estate,REIT"
"WEC ENERGY GROUP, INC. (WEC)","WEC Energy Group is a holding company, whose subsidiaries provide regulated natural gas and electricity, as well as nonregulated renewable energy primarily in Wisconsin, Illinois, and other Midwestern states of the U.S.",utility
"WADDELL & REED FINANCIAL, INC. (WDR)","Waddell & Reed provides investment management, advisory, underwriting and distribution for mutual funds and institutional and separately managed accounts.","asset management,financial company"
WESTERN DIGITAL CORPORATION (WDC),Western Digital makes data storage solutions such as hard disk drives and solid-state drives,hardware
"WALGREENS BOOTS ALLIANCE, INC. (WBA)","Walgreens Boots Alliance operates retail pharmacies across the U.S. and Europe under brands including Walgreens, Duane Reade, Boots and Alliance Healthcare. The company also operates a global pharmaceutical wholesale and distribution network, and a portfolio of","health care,retail"
WACHOVIA CORPORATION (WB),"Acquired by Wells Fargo in 2008, Wachovia provided commercial and retail banking and trust services.","Acquired.,banking,financial company"
WATERS CORPORATION (WAT),"Waters designs, manufactures, sells and services liquid chromatography, mass spectrometry, thermal analysis, rheometry and calorimetry analytical instruments, related software, and consumables. These products are used by life sciences, biochemical, industrial, nutritional safety, environmental, academic and governmental customers.",equipment
WALGREEN CO (WAG),"Prior to its merger with Alliance Boots in 2014, Walgreen primarily operated drugstores and specialty pharmacies in the U.S.","Acquired.,retail"
VERIZON COMMUNICATIONS INC. (VZ),"Verizon provides wireless voice and data communications, wireline broadband video and data for consumers in the U.S. The company offers corporate networking solutions, data center and cloud services to business and government customers in the U.S. and abroad.",telecommunications
VENTAS INC (VTR),"Ventas is a real estate investment trust (REIT) that owns a portfolio of seniors housing and healthcare properties located in the U.S., Canada and the U.K.","health care,real estate,REIT"
VERTEX PHARMACEUTICALS INCORPORATED (VRTX),"Vertex Pharmaceuticals discovers, develops, manufactures and commercializes therapies for the treatment of cystic fibrosis, including ORKAMBI and KALYDECO.",pharmaceuticals
"VERISIGN, INC. (VRSN)",VeriSign provides Internet domain name registry and Internet security services.,IT services
"VERISK ANALYTICS, INC. (VRSK)","Verisk Analytics provides data analytics services to insurance, natural resources, healthcare, financial services, government, and risk management customers. The company collects and analyzes billions of data records to provide decision making information integrated into customer workflows.",IT services
VORNADO REALTY TRUST (VNO),"Vornado is a real estate investment trust (REIT) that owns office space and residential properties, primarily in New York City and Washington D.C.","real estate,REIT"
VULCAN MATERIALS COMPANY (VMC),"Vulcan is a U.S. based producer of crushed stone, sand and gravel used in construction, and of asphalt mix and ready-mixed concrete.",materials
VALERO ENERGY CORPORATION (VLO),"Valero operates petroleum refineries in the U.S., Canada, and the U.K., and markets refined products through Valero-branded gas stations and on a wholesale basis. The company also operates ethanol plants in the central plains region of the U.S.","energy,materials"
"MERIDIAN BIOSCIENCE, INC. (VIVO)","Meridian develops, manufactures, sells and distributes disease diagnostic test kits, bulk antigens, antibodies, and bioresearch reagents, and performs contract development and manufacture of proteins and other biologicals for use by biopharmaceutical and biotechnology companies engaged in research for new drugs and vaccines.","health care,medical devices,pharmaceuticals"
VIAVI SOLUTIONS INC. (VIAV),"Viavi, formerly JDS Uniphase Corporation, is a provider of network equipment and optical products for telecommunications service providers, equipment manufacturers and enterprises. The company also provides anti-counterfeiting solutions for currency authentication, and optical instruments for security, safety, and other applications.",hardware
"VIACOM, INC. (VIA)","Viacom creates TV programs, films, entertainment applications, games, and consumer products. Company media brands include Nickelodeon, Comedy Central, BET, and Paramount Pictures.",media
VARIAN MEDICAL SYSTEMS INC (VAR),"Varian Medical Systems makes medical devices and software for treating cancer and other conditions with radiotherapy, radiosurgery, proton therapy and brachytherapy. The company also makes X-ray imaging components for medical, scientific, cargo screening, and industrial applications.","equipment,health care,medical devices"
U.S. BANCORP (USB),"U.S. Bancorp is a bank holding company that provides lending and depository services, cash management, capital markets, trust and investment management, as well as credit card services, merchant and ATM processing, mortgage banking, insurance, brokerage and leasing.","banking,financial company"
"UNITED RENTALS, INC. (URI)","The company rents construction and industrial equipment, aerial work platforms, trench safety equipment, power and HVAC equipment, pumps, and general tools and light equipment in the U.S. and Canada.","engineering and construction,equipment"
VISA INC. (V),"Visa is a global payments technology company that operates a payment processing network, which facilitates authorization, clearing and settlement of payment transactions, and provides fraud protection for account holders. Visa does not issue cards, extend credit or set rates for account holders. In most cases, account holder and merchant relationships are managed by Visa's financial institution clients.","business services,financial company,financial services"
UST INC. (UST),"Acquired by Altria Group in 2008, UST was engaged in manufacturing and marketing of smokeless tobacco products and wine.","Acquired.,consumer goods"
"URBAN OUTFITTERS, INC. (URBN)","Urban Outfitters is a retail and wholesale apparel, accessories, and home goods company, operating under the Urban Outfitters, Anthropologie, Free People, Terrain and Bhldn brands. Company retails stores are primarily located in the U.S., Canada, and Western Europe.",retail
UNITED TECHNOLOGIES CORPORATION (UTX),"United Technologies is a diversified technology company. Its products include Otis elevators and escalators; building heating, ventilating, air conditioning and refrigeration systems; Pratt & Whitney aircraft engines and other aerospace products and services sold to aircraft manufacturers, airlines and governments.","conglomerate,equipment"
"UNITED PARCEL SERVICE, INC. (UPS)","United Parcel Service is a package delivery company that was founded in 1907. The company delivers packages in over 200 countries and provides logistics services, such as distribution, customs brokerage and insurance.",transportation
V.F. CORPORATION (VFC),"VF designs, produces, markets and distributes branded apparel and footwear. Company brands include The North Face, Vans, Timberland, Wrangler, Lee, Nautica, Majestic and Kipling.","consumer goods,retail"
UNION PACIFIC CORPORATION (UNP),"Union Pacific provides railroad transportation in the western two-thirds of the U.S., primarily transporting agricultural, automotive, chemical, and industrial products and coal.",transportation
UNUM GROUP (UNM),Unum provides life and disability insurance in the U.S. and the U.K.,"financial company,insurance"
UNITEDHEALTH GROUP INCORPORATED (UNH),"UnitedHealth provides employer, individual, Medicare, and other health insurance plans.",health care
"ULTA SALON, COSMETICS & FRAGRANCE, INC. (ULTA)","Ulta Beauty is a beauty retailer in the U.S. that offers cosmetics, fragrances, skin and hair care products, and salon services.",retail
UNISYS CORPORATION (UIS),"Unisys provides information technology services to enterprises and governments. Offerngs include cloud and IT infrastructure, application services, security solutions and server technology.",IT services
"UNIVERSAL HEALTH SERVICES, INC. (UHS)","The company owns and operates acute care hospitals, behavioral health centers, surgical hospitals, ambulatory surgery centers and radiation oncology centers, primarily in the U.S. and the U.K.",health care
"UNITED-GUARDIAN, INC. (UG)","United-Guardian manufactures and markets cosmetic ingredients, personal care and health care products, pharmaceuticals, medical lubricants, and specialty industrial products.","health care,materials"
"UDR, INC. (UDR)","UDR is a real estate investment trust (REIT) that develops, owns, and operates multifamily apartment communities throughout the U.S.","real estate,REIT"
"UNITED CONTINENTAL HOLDINGS, INC. (UAL)","The company is a holding company parent of United Airlines, transporting people and cargo through a global route network with hubs at Newark Liberty, Chicago O’Hare, Denver, George Bush Houston, Los Angeles, A.B. Won Pat Guam, San Francisco and Washington Dulles International airports.","Bankruptcy.,transportation"
"UNDER ARMOUR, INC. (UA)","Under Armour developes, markets and distributes branded athletic apparel, footwear and accessories. The company primarily sells its products on a wholesale basis to retailers.",consumer goods
TYCO INTERNATIONAL PLC (TYC),"Acquired by Johnson Controls in 2016, Tyco provided security products and services, fire detection and suppression products, and life safety products.","Acquired.,manufacturing"
TEXTRON INC. (TXT),"Textron is a diversified company that manufactures, sells, and services Beechcraft, Cessna, and Hawker aircraft, Bell helicopters, unmanned aircraft systems and weapons, and fuel systems and automotive components. The company also provides financing to purchasers of its aircraft and helicopters",equipment
TEXAS INSTRUMENTS INCORPORATED (TXN),"TI designs and makes semiconductors that it sells to electronics manufacturers around the world. Products include analog semiconductors, digital signal processors, microcontrollers.",hardware
TIME WARNER INC. (TWX),"Time Warner is a media and entertainment company that operates a cable TV network and digital media properties, provides Home Box Office (HBO) premium pay television and streaming services, and owns Warner Bros. film, home video and videogame production and distribution.",media
"TWITTER, INC. (TWTR)",Twitter provides products that enable people to share information through mobile devices and personal computers. The company derives revenue from advertising and data licensing.,internet
TIME WARNER CABLE INC. (TWC),"Time Warner Cable provides video, high-speed data and voice services over cable systems located primarily in New York State, including New York City, the Carolinas, the Midwest, Southern California, including Los Angeles, and Texas.","Acquired.,telecommunications"
TRANE INC (TT),"Acquired by Ingersoll-Rand in 2007, Trane manufactured commercial and residential heating, ventilation and air conditioning equipment. Trane through its predecessors had been in the HVAC business since 1864.","Acquired.,consumer goods,equipment"
"TOTAL SYSTEM SERVICES, INC. (TSS)","The company provides global payment solutions, such as processing services and acquiring solutions to merchants, and  general purpose reloadable prepaid and payroll cards.",IT services
"TYSON FOODS, INC. (TSN)","Tyson Foods is a food company with brands such as Tyson, Jimmy Dean, Hillshire Farm, Sara Lee,  Ball Park, Wright, Aidells and State Fair. The company produces chicken, beef, pork as well as prepared foods.",consumer goods
"TESLA MOTORS, INC. (TSLA)","Tesla designs, manufactures and sells fully electric vehicles and energy storage products. The company operates its own global network of vehicle sales and service centers.",manufacturing
TRACTOR SUPPLY COMPANY (TSCO),"Tractor Supply Company operates retail stores in rural communities of the U.S., supplying recreational farmers, ranchers, tradesmen and small businesses.","equipment,retail"
"THE TRAVELERS COMPANIES, INC. (TRV)","The Travelers Companies is a holding company that provides a wide range of commercial and personal property and casualty insurance products and services to businesses, government units, associations and individuals.","financial company,insurance"
"T. ROWE PRICE GROUP, INC. (TROW)","T. Rowe Price provides global investment management services to individual and institutional investors in mutual funds, separately managed accounts, and other sponsored investment portfolios","asset management,financial company"
"TRIPADVISOR, INC. (TRIP)","TripAdvisor is an online travel company. TripAdvisor aggregates travelers’ reviews and opinions about destinations, accommodations, and activities, and allows users to book hotels, vacation rentals, flights, activities, and restaurants.",internet
"TAPESTRY, INC. (TPR)","Tapestry designs and markets luxury consumer products under Coach, Kate Spade New York, and Stuart Weitzman brands.",consumer goods
THERMO FISHER SCIENTIFIC INC. (TMO),"Thermo Fisher provides scientific instruments and laboratory equipment, software, and consumables to biotech companies, hospitals and diagnostic labs, research institutions and government agencies.",equipment
TORCHMARK CORPORATION (TMK),Torchmark is an insurance holding company that provides individual life and supplemental health insurance products.,"financial company,insurance"
"TELLABS, INC. (TLAB)",Tellabs provides optical and packet-switched network equipment to network service providers.,"Acquired.,hardware,telecommunications"
THE TIMKEN COMPANY (TKR),"The Timken Company was founded in 1899. Timken engineers, manufactures and markets bearings, transmissions, gearboxes, belts, chain and related products repair services around the world.",manufacturing
"THE TJX COMPANIES, INC. (TJX)","TJX Companies is a discount apparel and home fashion retailer, operating stores under the T.J. Maxx, Marshalls, HomeGoods, and other names.",retail
TEMPLE-INLAND INC. (TIN),"Acquired by International Paper in 2012, Temple-Inland manufactured corrugated packaging and building products.","Acquired.,manufacturing"
TIFFANY & CO. (TIF),"Tiffany's was founded in 1837, and primarily operates jewelry retail stores around the world.","consumer goods,retail"
TITANIUM METALS CORPORATION (TIE),"Titanium Metals produces titanium melted and mill products, and recycles titanium scrap.","Acquired.,materials"
TENET HEALTHCARE CORPORATION (THC),"Tenet operates hospitals, short-stay surgical hospitals, and outpatient centers primarily in the U.S.",health care
TARGET CORPORATION (TGT),Target is a U.S. general merchandise and food retaier,retail
TEGNA INC. (TGNA),"TEGNA, formerly Gannett Co., Inc., operates in two business segments: the Media Segment, which includes a number of television stations, and the Digital Segment, which primarily consists of the Cars.com and CareerBuilder businesses.","internet,media"
TEREX CORPORATION (TEX),"Terex makes cranes, lifts, towers, materials processing equipment such as crushers, and construction equipment such as backhoes, excavators and",equipment
"TERADYNE, INC. (TER)","Teradyne makes automatic test systems used to test electronics systems in the consumer electronics, wireless, automotive, industrial, computing, communications, and aerospace and defense industries.","equipment,hardware"
TE CONNECTIVITY LTD. (TEL),"TE Connectivity manufacturers electrical components, such as connector, sensors, and relays for transportation, industrial and communications markets.",hardware
"INTEGRYS ENERGY GROUP, INC. (TEG)","Acquired by Wisconsin Energy in 2015, Integrys Energy Group was a holding company for regulated utility and non-regulated subsidiaries providing natural gas and electricity in the Mid-West of the U.S.","Acquired.,utility"
"TECO ENERGY, INC. (TE)","Acquired by Emera in 2016, TECO Energy was a holding company for regulated utilities providing electricity in Florida and New Mexico.","Acquired.,utility"
TRANSDIGM GROUP INCORPORATED (TDG),"TransDigm designs, produces and supplies proprietary components for use on commercial and military aircraft. Company products include mechanical/electro-mechanical actuators and controls, ignition systems and engine technology, pumps and valves, power conditioning devices, AC/DC electric motors and generators, batteries and chargers, latching and locking devices, cockpit security systems, and aircraft audio systems.",equipment
TERADATA CORPORATION (TDC),"Teradata provides software, hardware, and consulting services for enterprise data warehousing, integration, and business intelligence.",IT services
MOLSON COORS BREWING COMPANY (TAP),"The company is a beer brewer with a portfolio of brands that includes Carling, Coors Light, Molson Canadian and Staropramen. 
Molson and Coors were founded in 1786 and 1873, respectively.",consumer goods
AT&T INC. (T),"AT&T provides wireless communications, broadband Internet, digital video services, and local and long-distance telephone services to consumers in the U.S., Mexico and Latin America and to businesses worldwide.",telecommunications
SYSCO CORPORATION (SYY),"Sysco is a North American distributor of food and related products to restaurants, healthcare and educational facilities, lodging establishments and other foodservice customers.",business services
"SYNTEL, INC. (SYNT)","Acquired by Atos in 2018, Syntel provided digital transformation, information technology and knowledge process outsourcing services to enterprises in the Banking and Financial Services, Healthcare and Life Sciences, Insurance, and other industries.","Acquired.,business services,IT services"
SYMANTEC CORPORATION (SYMC),Symantec provides online security products to consumers and enterprises.,software
STRYKER CORPORATION (SYK),"Stryker is a medical technology company. Its products include implants used in joint replacement and trauma surgeries; surgical equipment and surgical navigation systems; endoscopic and communications systems; patient handling equipment; and neurosurgical, neurovascular and spinal devices.","health care,medical devices"
SYNCHRONY FINANCIAL (SYF),"Synchrony offers consumer credit products, such as private label credit cards, through retailer and manufacturer partners such as Lowe’s, Walmart, Amazon and Ethan Allen.",financial company
SAFEWAY INC. (SWY),,
SOUTHWESTERN ENERGY COMPANY (SWN),Southwestern is an oil and gas exploration and production company operating predominantly in the U.S.,energy
"SKYWORKS SOLUTIONS, INC. (SWKS)","Skyworks makes analog semiconductors for the automotive, communications, industrial, medical, and military applications.",hardware
"STANLEY BLACK & DECKER, INC. (SWK)","The company is a diversified global provider of hand tools, power tools and accessories, mechanical access solutions such as automatic doors and commercial locking systems, electronic security and monitoring systems, healthcare solutions, and other products and services for industrial applications.",manufacturing
SUPERVALU INC. (SVU),"Acquired in 2018, SUPERVALU was a successor to two firms established in the 1870s. Supervalu was a wholesale grocery distributor to independent retail customers in the U.S., and a discount grocery retailer under the Save-A-Lot store name.","Acquired.,retail"
"SUNEDISON, INC. (SUNEQ)","SunEdison filed for Chapter 11 bankruptcy in 2016. Prior to bankruptcy, the company developed photovoltaic energy solutions, and owned and operated solar power plants","Bankruptcy.,hardware"
SUNOCO INC (SUN),"Acquired by Energy Transfer Partners, L.P. in 2012, Sunoco was principally a petroleum refiner and marketer, and chemicals manufacturer","Acquired.,energy,materials"
"CONSTELLATION BRANDS, INC. (STZ)","Constellation Brands sells alcoholic beverages, including beer, wine, and spirits in the U.S. and Canada.",consumer goods
SEAGATE TECHNOLOGY PUBLIC LIMITED COMPANY (STX),"Seagate provides hard disk drives and other electronic data storage products including solid state hybrid drives, solid state drives, PCIe cards and SATA controllers.",hardware
STATE STREET CORPORATION (STT),"The company conducts its business primarily through State Street Bank, which traces its beginnings to the founding of the Union Bank in 1792. State Street Bank operates as a specialized bank, referred to as a trust or custody bank, that services and manages assets on behalf of its institutional clients, which include mutual funds, collective investment funds and other investment pools, corporate and public retirement plans, insurance comp","banking,financial company,financial services"
QUESTAR CORPORATION (STR),"Questar develops and produces natural gas, operates interstate gas pipelines and storage facilities, and provides retail natural gas distribution in Utah, Wyoming and Idaho.","Acquired.,energy,utility"
"ST. JUDE MEDICAL, INC. (STJ)","Acquired by Abbott Laboratories in 2017, St. Jude Medical developed, manufactured and distributed cardiovascular medical devices for cardiac rhythm management and cardiovascular and atrial fibrillation therapy, and interventional pain therapy and neurostimulation devices for the management of chronic pain and movement disorders.","Acquired.,health care,medical devices"
"SUNTRUST BANKS, INC. (STI)","SunTrust Banks provides consumer banking, private wealth management, wholesale and mortgage banking services in the South-Eastern and Mid-Atlantic regions of the U.S.","banking,financial company"
THE E. W. SCRIPPS COMPANY (SSP),"Scripps serves audiences and businesses through a portfolio of TV, radio and digital media brands, as well as local and national digital journalism and information businesses",media
SEMPRA ENERGY (SRE),Sempra Energy is a holding company for regulated utilities that provide electricity and gas in Southern California.,utility
"STERICYCLE, INC. (SRCL)","Stericycle provides collection, processing, and disposal services for regulated and specialized waste, such as medical, pharmaceutical, or hazardous waste, and secure destruction of documents and e-media. The company has worldwide processing and service facilities, and transfer sites.",business services
"STAPLES, INC. (SPLS)","Acquired in 2017, Staples sold office supplies, business technology products, facilities supplies, copy and print services, and office furniture through retail stores, direct sales, and online.","Acquired.,retail"
S&P GLOBAL INC. (SPGI),"S&P Global provides ratings, benchmarks, analytics and data to the capital and commodity markets worldwide.",media
"SIMON PROPERTY GROUP, INC. (SPG)","Simon is a self-administered and self-managed real estate investment trust (REIT) that owns, develops and manages retail mail real estate properties.","real estate,REIT"
"SOVEREIGN BANCORP, INC. (SOV)","Acquired by Santander in 2008, Sovereign Bank was a savings bank attracting deposits from a network of community banking offices, and originating small business and middle market commercial loans, multi-family loans, residential mortgage loans, home equity loans and lines of credit, and auto and other consumer loans in the communities served by those offices.","Acquired.,banking,financial company"
THE SOUTHERN COMPANY (SO),"Southern Company owns public utilities supplying electricity in Alabama, Georgia, Florida, and Mississippi.",utility
"SYNOPSYS, INC. (SNPS)",Synopsys provides electronic design automation software and pre-designed circuits to customers who design and test integrated circuits.,software
"SCRIPPS NETWORKS INTERACTIVE, INC. (SNI)","Scripps developers lifestyle-oriented content for television and internet, including HGTV, Food Network, Travel Channel, DIY Network, Cooking Channel and Great American Country TV networks in the U.S.","Acquired.,media"
SANDISK CORP (SNDK),"Acquired by Western Digital in 2015, SanDisk was a supplier of NAND flash storage card products.","Acquired.,hardware"
SNAP-ON INCORPORATED (SNA),"Snap-on manufactures and markets hand and power tools, tool storage, diagnostics software, information and management systems, shop equipment and other solutions for vehicle dealerships and repair centers, as well as for other industrial customers.","equipment,manufacturing"
SLM CORPORATION (SLM),"SLM Corporation, commonly known as Sallie Mae, is a federally chartered government sponsored enterprise, with the goal of furthering access to higher education by providing liquidity to the education loan marketplace. The company originates and services private education Loans.",financial company
SL GREEN REALTY CORP. (SLG),SL Green is real estate investment trust (REIT) that develops and manages office properties in the New York Metropolitan area.,"real estate,REIT"
SCHLUMBERGER LIMITED (SLB),"Founded in 1926, Schlumberger is a supplier of technology, project management and information solutions to the oil and gas exploration and production industry.","engineering and construction,energy"
THE J. M. SMUCKER COMPANY (SJM),"Smucker’s was established in 1897. The company manufactures and markets branded coffee, pet food, peanut butter, fruit spreads, shortening and oils, baking mixes and ready-to-spread frostings, frozen sandwiches, flour and baking ingredients, juices and beverages worldwide.",consumer goods
SITE CENTERS CORP. (SITC),"SITE Centers Corp. (formerly DDR Corp.) is a Real Estate Investment Trust (REIT) in the business of acquiring, owning, developing, and managing shopping centers.","real estate,REIT"
